gender,age,years_experience,university_rank,skills_score,hired
Male,41,12,Low,73,1
Male,45,12,Mid,94,1
Male,26,17,Low,61,1
Male,27,2,Low,79,0
Male,23,6,Mid,87,1
Female,34,13,Low,80,0
Male,32,19,Mid,85,1
Male,44,16,Low,68,0
Male,37,11,Low,97,1
Female,52,15,Mid,94,0
Male,32,11,Mid,85,0
Female,37,14,Mid,79,1
Male,29,9,Top10,98,0
Male,25,6,Mid,82,0
Male,25,19,Top10,67,1
Male,46,4,Mid,98,0
Male,24,0,Mid,77,0
Male,53,16,Mid,96,0
Male,24,2,Mid,60,0
Male,48,12,Mid,94,0
Male,50,13,Mid,82,0
Female,53,17,Low,66,0
Male,40,3,Mid,55,1
Male,42,17,Mid,53,0
Female,26,4,Low,69,0
Male,39,15,Mid,97,0
Male,49,0,Mid,96,1
Male,43,13,Mid,76,1
Male,42,14,Mid,64,1
Female,27,8,Low,55,1
Female,22,14,Low,96,0
Male,26,16,Mid,63,0
Female,33,3,Mid,60,0
Female,47,11,Mid,88,1
Male,35,4,Mid,58,1
Female,47,4,Mid,75,0
Male,48,10,Mid,65,0
Female,30,5,Low,54,1
Female,47,6,Low,59,0
Male,43,13,Mid,99,0
Male,51,10,Low,52,0
Male,38,12,Low,62,0
Male,47,1,Low,92,1
Female,22,6,Low,98,1
Female,29,19,Mid,79,0
Male,36,3,Top10,94,1
Male,43,7,Top10,55,1
Male,35,19,Mid,66,1
Male,47,18,Low,94,1
Male,49,12,Mid,68,1
Male,44,13,Low,91,0
Female,35,9,Mid,84,0
Male,45,10,Low,95,0
Male,23,1,Mid,75,1
Male,47,8,Top10,54,1
Male,35,16,Mid,78,1
Female,28,2,Mid,86,1
Female,24,5,Low,69,1
Male,44,4,Mid,98,1
Male,39,4,Low,70,0
Male,36,14,Mid,59,0
Male,46,16,Mid,54,1
Male,49,8,Mid,85,0
Male,31,2,Low,55,0
Male,38,19,Mid,75,1
Male,43,16,Mid,53,1
Male,47,9,Top10,88,1
Female,46,2,Low,88,0
Male,38,17,Mid,99,0
Male,34,17,Top10,84,1
Male,41,16,Mid,50,0
Female,46,2,Top10,73,1
Male,25,2,Top10,85,1
Male,31,5,Mid,55,0
Female,24,12,Low,90,1
Male,39,14,Low,95,1
Male,43,8,Mid,93,1
Male,29,3,Low,80,0
Male,40,13,Mid,69,0
Male,27,4,Top10,73,1
Male,47,1,Mid,74,0
Male,27,10,Low,85,1
Female,54,8,Top10,70,0
Male,43,2,Low,79,0
Male,42,8,Low,73,0
Male,27,2,Mid,93,0
Male,27,1,Mid,91,0
Male,25,11,Mid,79,0
Male,51,9,Mid,71,0
Male,32,8,Low,77,1
Male,51,14,Low,56,0
Male,52,7,Mid,84,1
Male,45,4,Mid,77,0
Male,30,10,Low,63,1
Male,24,1,Mid,59,1
Female,52,14,Low,65,1
Male,45,5,Mid,65,1
Male,52,7,Mid,80,1
Male,27,4,Top10,91,1
Female,23,15,Top10,74,1
Female,41,17,Low,62,0
Male,49,5,Mid,55,1
Male,32,4,Top10,93,0
Female,25,15,Top10,58,0
Male,36,12,Low,94,0
Male,27,4,Mid,85,0
Male,51,12,Top10,92,1
Male,23,16,Top10,69,1
Female,36,17,Low,67,0
Female,32,7,Mid,92,0
Male,29,12,Mid,70,1
Male,47,18,Mid,53,1
Male,26,2,Mid,99,1
Male,27,7,Mid,82,1
Female,47,1,Mid,76,1
Female,25,7,Mid,56,1
Female,40,12,Mid,55,1
Male,41,12,Mid,64,1
Male,54,0,Mid,67,0
Male,41,5,Mid,81,1
Female,33,18,Mid,60,0
Male,22,15,Mid,69,0
Male,47,7,Low,73,0
Male,35,0,Top10,64,1
Male,32,15,Top10,97,1
Male,34,8,Low,56,1
Male,24,12,Mid,70,1
Male,54,10,Mid,91,1
Male,27,12,Top10,75,1
Male,31,9,Top10,93,1
Male,26,3,Low,63,1
Male,44,5,Top10,86,0
Male,31,6,Mid,70,0
Male,23,4,Mid,67,1
Male,34,10,Mid,54,0
Male,23,12,Top10,52,1
Female,41,18,Low,72,0
Male,22,9,Top10,75,0
Male,30,9,Low,86,1
Male,38,10,Mid,73,0
Male,30,6,Mid,98,1
Male,32,17,Low,68,1
Male,36,3,Mid,74,0
Female,45,1,Mid,70,0
Male,51,13,Mid,61,1
Female,52,12,Low,90,0
Male,26,11,Mid,82,1
Female,35,6,Low,99,1
Male,32,1,Mid,53,1
Male,30,12,Mid,91,1
Male,33,13,Low,56,1
Male,22,16,Mid,71,1
Male,43,8,Top10,82,1
Male,50,16,Mid,66,0
Male,29,7,Low,73,0
Male,32,1,Top10,83,0
Male,35,12,Mid,77,0
Female,51,2,Low,92,0
Female,42,15,Mid,90,1
Female,26,5,Mid,88,0
Male,40,18,Mid,71,0
Male,35,6,Low,98,1
Female,47,9,Low,66,0
Male,25,8,Mid,83,0
Female,46,1,Low,55,0
Female,46,14,Mid,95,0
Female,39,4,Mid,55,0
Male,29,3,Mid,83,0
Male,35,19,Top10,50,0
Female,53,3,Mid,59,1
Male,54,17,Low,70,1
Male,44,3,Mid,54,0
Male,36,16,Low,51,0
Female,54,11,Low,71,1
Male,46,16,Mid,97,0
Male,38,9,Top10,51,1
Male,54,0,Low,59,0
Male,23,17,Top10,83,1
Female,35,17,Mid,65,0
Male,27,13,Low,97,0
Male,27,14,Low,88,0
Female,24,11,Mid,71,0
Male,28,3,Mid,61,1
Male,29,2,Mid,73,1
Male,36,19,Mid,96,1
Male,50,11,Top10,89,1
Male,54,6,Low,87,1
Female,51,10,Low,59,0
Female,48,0,Top10,84,1
Female,50,5,Top10,98,1
Female,54,14,Low,81,0
Male,48,14,Mid,56,1
Male,54,18,Mid,70,0
Female,25,10,Low,69,0
Male,43,1,Mid,75,1
Male,23,13,Low,53,0
Female,31,1,Mid,95,0
Female,26,3,Mid,71,0
Male,31,16,Low,64,0
Male,54,2,Top10,89,0
Male,34,12,Low,70,1
Male,52,8,Mid,64,0
Male,45,6,Low,71,1
Male,36,14,Low,77,0
Male,50,10,Low,63,1
Male,29,19,Low,76,0
Male,26,1,Mid,90,0
Male,50,14,Top10,89,1
Male,25,13,Mid,77,0
Female,33,19,Mid,75,0
Male,23,10,Mid,98,0
Male,48,2,Mid,51,0
Male,52,16,Low,74,0
Female,47,11,Mid,52,1
Male,48,14,Low,57,1
Male,26,15,Top10,93,1
Male,41,4,Low,82,1
Male,32,19,Low,91,0
Male,31,5,Mid,84,0
Male,27,18,Mid,55,1
Male,29,4,Low,88,0
Male,44,2,Top10,72,0
Female,47,0,Low,74,0
Male,33,5,Mid,99,0
Male,47,14,Top10,92,1
Female,34,1,Mid,68,1
Male,39,2,Top10,54,1
Male,46,16,Top10,60,0
Male,54,11,Top10,61,1
Male,33,17,Low,59,1
Female,25,14,Mid,57,0
Female,26,11,Mid,73,1
Male,29,15,Mid,77,1
Male,49,7,Mid,90,1
Male,52,13,Mid,85,0
Male,30,16,Mid,86,0
Male,50,7,Top10,70,0
Male,35,14,Mid,57,0
Male,43,13,Mid,58,1
Male,32,17,Mid,96,1
Male,44,19,Mid,64,0
Female,22,6,Low,97,0
Male,42,2,Top10,95,0
Male,47,11,Low,89,0
Male,44,2,Mid,67,0
Male,22,19,Top10,91,1
Male,36,13,Low,69,1
Male,42,14,Top10,55,1
Female,30,13,Low,61,0
Male,30,6,Low,51,0
Male,31,16,Mid,56,0
Male,47,11,Top10,65,0
Male,46,19,Top10,52,0
Female,47,3,Low,94,0
Male,32,8,Top10,52,1
Male,23,5,Mid,76,1
Male,28,15,Top10,99,1
Male,39,1,Mid,92,1
Male,48,7,Low,89,1
Male,48,10,Low,87,1
Male,38,12,Mid,82,0
Male,45,16,Mid,77,1
Male,46,7,Mid,50,1
Male,28,17,Mid,57,1
Male,27,17,Mid,86,0
Male,45,13,Top10,81,1
Male,54,14,Low,97,0
Male,50,5,Mid,92,1
Female,43,10,Top10,86,0
Male,47,12,Mid,53,1
Male,49,0,Mid,79,1
Male,42,5,Low,55,0
Male,28,8,Low,95,0
Male,38,7,Low,68,0
Male,41,10,Top10,81,1
Female,41,18,Low,58,1
Male,43,8,Mid,61,1
Male,49,16,Top10,60,1
Male,28,11,Mid,95,1
Male,22,13,Low,65,1
Male,53,14,Top10,50,1
Female,34,15,Low,94,0
Male,51,19,Mid,70,1
Female,44,0,Mid,79,0
Female,40,9,Mid,62,1
Male,53,7,Low,83,0
Male,51,17,Low,53,0
Male,50,0,Low,77,1
Male,50,1,Mid,87,1
Male,51,0,Top10,80,0
Male,37,0,Mid,76,1
Male,40,8,Mid,54,1
Male,39,12,Low,74,0
Female,22,0,Mid,52,0
Male,35,12,Mid,82,0
Female,23,19,Mid,53,1
Male,49,6,Mid,74,0
Male,51,1,Low,69,0
Male,25,5,Mid,83,0
Male,22,6,Mid,75,1
Female,29,13,Mid,54,1
Male,50,17,Mid,84,0
Female,24,14,Top10,77,1
Male,53,1,Low,78,0
Male,31,9,Low,58,0
Female,31,11,Mid,87,1
Female,40,16,Low,99,0
Female,54,7,Mid,55,1
Male,44,10,Mid,68,0
Male,49,2,Mid,93,1
Female,53,5,Low,60,0
Male,28,8,Top10,51,0
Female,50,5,Low,96,0
Female,29,8,Low,93,1
Male,22,6,Mid,93,0
Female,24,8,Low,58,1
Female,45,17,Top10,70,1
Male,44,11,Mid,73,0
Female,29,7,Low,83,1
Male,24,7,Top10,71,1
Female,54,17,Top10,52,0
Male,49,19,Top10,61,0
Female,29,14,Mid,77,0
Male,53,6,Mid,79,1
Male,45,10,Mid,75,0
Female,35,19,Low,97,1
Male,53,15,Top10,70,0
Male,37,3,Low,77,1
Female,25,5,Mid,75,0
Female,42,2,Mid,82,1
Male,35,8,Top10,70,1
Male,52,9,Low,84,0
Male,39,13,Low,83,0
Male,28,10,Mid,90,1
Male,31,17,Mid,96,0
Male,28,11,Mid,67,1
Female,54,11,Low,60,0
Female,44,12,Low,72,0
Female,42,12,Low,97,0
Male,40,18,Top10,71,1
Male,40,18,Top10,66,0
Male,50,13,Mid,54,1
Male,39,3,Low,93,1
Male,23,12,Mid,60,0
Female,22,7,Mid,79,0
Male,26,18,Top10,64,0
Male,41,11,Low,76,0
Male,32,17,Mid,84,1
Female,23,5,Low,82,0
Male,24,17,Mid,69,1
Male,44,18,Mid,65,1
Male,33,4,Mid,83,1
Male,41,8,Top10,51,1
Male,26,2,Mid,84,1
Female,51,9,Mid,89,0
Male,30,18,Mid,77,1
Male,43,2,Mid,96,1
Male,45,14,Top10,88,1
Female,38,0,Low,55,0
Male,31,6,Low,58,1
Male,51,11,Mid,69,1
Female,44,16,Low,50,1
Female,53,19,Low,57,0
Female,38,4,Low,72,0
Female,38,3,Top10,52,1
Male,35,11,Low,53,1
Male,30,19,Mid,74,1
Female,23,17,Low,96,0
Male,46,16,Mid,87,0
Male,30,18,Low,64,1
Female,43,8,Low,70,0
Male,25,3,Mid,84,0
Male,47,1,Mid,95,0
Male,50,3,Mid,63,1
Male,44,1,Mid,85,1
Male,32,14,Low,61,1
Male,27,1,Mid,66,1
Male,39,3,Top10,88,1
Male,42,5,Top10,58,0
Male,38,6,Low,84,1
Male,46,9,Mid,62,0
Female,33,18,Top10,64,1
Male,44,18,Low,67,0
Male,43,11,Low,82,1
Female,42,2,Low,55,0
Male,48,12,Low,76,1
Female,52,17,Mid,72,1
Male,27,7,Low,76,1
Female,48,14,Low,83,1
Male,33,0,Low,95,1
Female,28,2,Low,87,0
Male,31,7,Low,63,1
Female,38,3,Low,85,1
Male,47,15,Top10,57,1
Male,42,9,Mid,84,1
Female,49,11,Top10,68,1
Male,23,13,Low,79,1
Male,22,13,Top10,63,0
Male,47,1,Top10,69,1
Male,50,4,Top10,98,1
Male,42,4,Low,74,1
Male,32,5,Low,89,0
Female,32,12,Low,73,0
Male,45,8,Mid,63,0
Male,43,14,Low,75,0
Female,26,13,Low,87,0
Female,54,6,Low,72,1
Male,41,19,Mid,71,1
Male,40,1,Mid,97,1
Male,38,6,Mid,68,1
Male,30,5,Mid,95,0
Male,47,16,Mid,52,1
Male,23,1,Low,91,0
Male,30,2,Mid,68,1
Male,30,4,Low,58,0
Female,38,4,Mid,77,0
Female,22,0,Mid,69,0
